date,apparel_cpi,wages
2008-05-01,251.51694915254234,719.2
2008-06-01,251.0614406779661,721.5999999999999
2008-07-01,252.13135593220338,724.0
2008-08-01,253.67796610169492,727.2
2008-09-01,253.4279661016949,727.9999999999999
2008-10-01,251.6927966101695,730.0
2008-11-01,251.83686440677965,732.4
2008-12-01,250.25211864406776,735.6
2009-01-01,249.9300847457627,735.6
2009-02-01,254.0,737.6
2009-03-01,255.01694915254234,739.5999999999999
2009-04-01,254.62288135593218,740.8
2009-05-01,254.31779661016947,741.2
2009-06-01,254.82203389830508,742.4
2009-07-01,254.20338983050846,743.6
2009-08-01,254.7372881355932,746.8000000000001
2009-09-01,255.88771186440678,748.0
2009-10-01,255.29661016949152,749.5999999999999
2009-11-01,254.2521186440678,752.0
2009-12-01,255.17161016949152,753.5999999999999
2010-01-01,254.04661016949152,755.1999999999999
2010-02-01,254.6271186440678,756.4
2010-03-01,254.71398305084745,756.8000000000001
2010-04-01,253.48728813559322,758.4000000000001
2010-05-01,253.4915254237288,760.4000000000001
2010-06-01,253.43855932203388,761.2
2010-07-01,252.8008474576271,761.5999999999999
2010-08-01,252.0338983050847,764.4
2010-09-01,252.56355932203385,764.4
2010-10-01,251.9427966101695,768.4
2010-11-01,252.1758474576271,768.4
2010-12-01,252.59110169491527,769.2
2011-01-01,253.8559322033898,773.1999999999999
2011-02-01,254.0338983050847,772.4
2011-03-01,253.68432203389827,772.0000000000001
2011-04-01,254.31567796610167,774.4
2011-05-01,256.66525423728814,776.4
2011-06-01,257.8601694915254,776.4
2011-07-01,259.63347457627117,779.1999999999999
2011-08-01,261.760593220339,778.8
2011-09-01,261.11016949152537,779.5999999999999
2011-10-01,262.2351694915254,782.4
2011-11-01,264.32627118644064,782.4
2011-12-01,264.5444915254237,782.8000000000001
2012-01-01,265.6758474576271,783.6
2012-02-01,264.989406779661,783.1999999999999
2012-03-01,266.63135593220335,785.6
2012-04-01,267.864406779661,787.2
2012-05-01,268.353813559322,787.2
2012-06-01,267.47457627118644,788.4000000000001
2012-07-01,266.81144067796606,790.0
2012-08-01,265.5360169491525,789.5999999999999
2012-09-01,267.76694915254234,791.5999999999999
2012-10-01,269.6843220338983,791.5999999999999
